Applicant_ID,Name,Age,Education,Employment_Type,Employment_Years,Dependents,Marital_Status,Annual_Income,Monthly_Expenses,Existing_Loans,Existing_EMI,Savings_Balance,Asset_Value,Credit_Score,Credit_History_Years,Previous_Default,Number_of_Credit_Accounts,Late_Payments,Loan_Amount_Requested,Loan_Term_Months,Loan_Purpose,Monthly_Income,DTI_Ratio,Loan_to_Income,Disposable_Income,Loan_Status,Default_Status
APP_00001,Amber Logan,59,Graduate,Salaried,7,4,Married,484971,14578,4,18186,136460,1251143,678,6,0,2,0,324017,48,Home,40414.25,45.0,0.668,7650.25,Rejected,1
APP_00002,Eric Phillips,64,Graduate,Self-Employed,2,4,Married,709033,15343,1,13627,222826,2243844,680,2,0,4,0,630495,48,Personal,59086.08,23.06,0.889,30116.08,Approved,0
APP_00003,Benjamin Lynch,26,Diploma,Self-Employed,4,1,Married,934616,17989,3,24324,304409,2778793,736,7,0,5,1,934473,48,Medical,77884.67,31.23,1.0,35571.67,Approved,1
APP_00004,Christine Kelly,31,Diploma,Self-Employed,2,0,Married,902919,39442,1,9184,149477,2156181,792,5,0,3,0,630303,36,Education,75243.25,12.21,0.698,26617.25,Approved,0
APP_00005,Elizabeth Hill,59,High School,Self-Employed,25,1,Married,787622,24047,4,29535,222886,1548136,585,11,0,5,1,927583,36,Home,65635.17,45.0,1.178,12053.17,Rejected,1
APP_00006,Richard Garza,31,Graduate,Salaried,8,0,Single,608807,21647,0,0,209684,1680949,690,9,0,6,0,339569,48,Home,50733.92,0.0,0.558,29086.92,Approved,0
APP_00007,Kathy Ross,32,Diploma,Salaried,0,4,Single,668422,20940,4,25065,157151,1896996,828,10,0,8,0,890738,120,Personal,55701.83,45.0,1.333,9696.83,Approved,0
APP_00008,Christopher Donovan,53,Diploma,Salaried,15,4,Married,1044282,27332,3,27093,229299,3755790,719,8,1,1,1,1085194,24,Personal,87023.5,31.13,1.039,32598.5,Rejected,1
APP_00009,Mr. Joshua Noble,22,Postgraduate,Contract,0,4,Married,409790,15200,2,15367,70896,1401755,674,4,1,3,3,443334,48,Business,34149.17,45.0,1.082,3582.17,Rejected,1
APP_00010,Amber Adkins,61,Diploma,Salaried,13,4,Single,301777,8255,2,11316,51257,798460,594,14,0,6,6,383724,84,Vehicle,25148.08,45.0,1.272,5577.08,Rejected,1
APP_00011,Jill Lopez,39,Graduate,Business Owner,16,3,Married,906553,40668,2,11787,372639,2069246,656,1,0,8,1,1376054,24,Vehicle,75546.08,15.6,1.518,23091.08,Rejected,1
APP_00012,Devin Hughes,53,High School,Self-Employed,28,1,Married,762840,30738,0,0,144983,2056118,651,19,0,7,0,829413,120,Personal,63570.0,0.0,1.087,32832.0,Approved,0
APP_00013,Annette Lewis,35,Graduate,Salaried,0,4,Single,641424,26443,3,24053,242332,304584,703,17,0,8,0,556901,120,Vehicle,53452.0,45.0,0.868,2956.0,Approved,1
APP_00014,Brittany Blankenship MD,45,Graduate,Salaried,15,4,Married,588236,19314,4,22058,288257,1054313,721,12,0,8,0,489271,120,Vehicle,49019.67,45.0,0.832,7647.67,Rejected,0
APP_00015,Lisa Morris,51,High School,Contract,31,0,Married,645894,28546,1,15784,343403,1836966,754,20,0,8,0,615492,12,Personal,53824.5,29.32,0.953,9494.5,Approved,0
APP_00016,Sarah Perry,46,Graduate,Salaried,18,0,Married,687367,25347,1,12708,252468,1664299,534,24,1,8,3,656336,48,Personal,57280.58,22.19,0.955,19225.58,Rejected,1
APP_00017,Pam Mendoza,33,Graduate,Salaried,13,0,Married,207813,5267,2,7792,59958,463206,647,14,0,7,6,89406,120,Personal,17317.75,44.99,0.43,4258.75,Rejected,0
APP_00018,Miss Betty Chen,29,Graduate,Self-Employed,5,4,Single,851145,24032,2,18090,402721,1721541,643,3,0,5,2,1354718,24,Personal,70928.75,25.5,1.592,28806.75,Approved,1
APP_00019,Cody Nicholson,48,Graduate,Business Owner,6,0,Married,761089,23289,0,0,66219,1641515,722,6,0,2,0,503850,60,Medical,63424.08,0.0,0.662,40135.08,Approved,0
APP_00020,Mary Reyes,21,Graduate,Self-Employed,1,0,Married,610954,27266,3,21710,106331,1161183,541,2,0,4,0,646958,36,Medical,50912.83,42.64,1.059,1936.83,Rejected,1
APP_00021,Mr. William Cochran,55,Postgraduate,Contract,4,0,Married,676916,30774,0,0,155435,2621274,642,25,0,6,5,421899,12,Personal,56409.67,0.0,0.623,25635.67,Rejected,1
APP_00022,Cynthia Bates,57,Graduate,Salaried,20,0,Single,658456,29296,4,24692,10000,1469500,653,1,0,6,4,604530,36,Home,54871.33,45.0,0.918,883.33,Approved,1
APP_00023,Jeremy Frank,54,Graduate,Self-Employed,29,2,Single,840042,25048,3,21668,468566,669192,686,24,0,5,4,233583,60,Vehicle,70003.5,30.95,0.278,23287.5,Approved,0
APP_00024,Nicole Shaw,24,Diploma,Salaried,2,2,Married,919979,41444,4,34499,202819,1570521,682,2,0,6,0,488152,60,Personal,76664.92,45.0,0.531,721.92,Approved,1
APP_00025,Kevin Cooper,37,Diploma,Business Owner,16,2,Single,758452,23359,1,15315,87822,1420941,536,13,0,2,0,906632,120,Education,63204.33,24.23,1.195,24530.33,Approved,1
APP_00026,Christian Cochran,57,Diploma,Self-Employed,16,1,Married,335227,7867,4,12571,100167,1334184,695,2,0,7,2,209629,36,Vehicle,27935.58,45.0,0.625,7497.58,Rejected,0
APP_00027,Nancy Simon,26,Graduate,Salaried,5,4,Single,532884,11781,0,0,120928,1358066,631,8,1,5,6,527490,24,Home,44407.0,0.0,0.99,32626.0,Rejected,1
APP_00028,Mrs. Brittany Bailey,65,Graduate,Salaried,3,2,Single,970960,37032,3,30127,260196,2561885,743,13,0,3,1,932066,24,Vehicle,80913.33,37.23,0.96,13754.33,Approved,0
APP_00029,Jason Black,29,Graduate,Self-Employed,7,2,Single,792432,17395,2,13975,248355,2440138,724,5,0,6,2,1046767,60,Business,66036.0,21.16,1.321,34666.0,Approved,1
APP_00030,Linda Thompson,34,Postgraduate,Self-Employed,0,0,Single,647981,27801,1,4997,10000,2548173,775,10,0,8,0,523584,12,Business,53998.42,9.25,0.808,21200.42,Approved,0
APP_00031,Jeffery Gray,53,High School,Self-Employed,9,4,Married,1009384,20080,3,37410,225594,5727691,702,15,0,4,2,1286011,120,Personal,84115.33,44.47,1.274,26625.33,Approved,1
APP_00032,Ryan Bowman,43,Graduate,Contract,11,1,Married,548963,17249,0,0,236151,858295,628,16,0,4,5,282023,120,Home,45746.92,0.0,0.514,28497.92,Rejected,0
APP_00033,Kathryn Stewart,42,Postgraduate,Salaried,4,4,Single,725391,19117,2,25253,175259,1386884,680,9,1,2,2,431526,12,Home,60449.25,41.78,0.595,16079.25,Rejected,1
APP_00034,Margaret Howell,64,Postgraduate,Salaried,24,3,Married,643071,27876,0,0,123633,2190227,642,17,0,7,6,449688,48,Vehicle,53589.25,0.0,0.699,25713.25,Approved,1
APP_00035,David Murillo,43,Graduate,Business Owner,16,4,Single,1056086,26658,2,29730,501614,1019462,850,6,0,3,0,281241,60,Home,88007.17,33.78,0.266,31619.17,Approved,0
APP_00036,Mary Torres,43,Graduate,Salaried,21,0,Married,258621,5657,0,0,144180,760596,777,16,0,4,1,184869,84,Home,21551.75,0.0,0.715,15894.75,Approved,0
APP_00037,Rebecca Garcia,25,Graduate,Salaried,1,2,Married,786143,22489,0,0,69217,586879,651,4,0,2,2,767235,24,Home,65511.92,0.0,0.976,43022.92,Approved,0
APP_00038,Laura Brown,45,Diploma,Salaried,10,3,Single,665785,28584,1,14990,294627,2023701,784,9,0,6,0,875313,84,Vehicle,55482.08,27.02,1.315,11908.08,Approved,0
APP_00039,Steven Rivera,65,Postgraduate,Salaried,1,3,Married,609498,26433,2,22856,293253,1445914,728,24,0,6,0,261203,24,Vehicle,50791.5,45.0,0.429,1502.5,Approved,0
APP_00040,Alan Mendez,29,High School,Self-Employed,8,4,Married,996780,29254,2,30179,393589,3461372,733,3,0,5,0,1009222,60,Medical,83065.0,36.33,1.012,23632.0,Approved,1
APP_00041,Adam Morales,51,Postgraduate,Self-Employed,21,0,Married,1088711,19783,1,11238,494597,2834434,652,17,1,7,1,194418,120,Vehicle,90725.92,12.39,0.179,59704.92,Rejected,1
APP_00042,Brianna Jackson,59,Graduate,Salaried,16,2,Married,772670,23719,2,22465,10000,939457,783,4,0,5,0,1090118,12,Personal,64389.17,34.89,1.411,18205.17,Rejected,0
APP_00043,Kathryn Farmer,59,High School,Salaried,28,4,Married,361026,10211,0,0,139059,1006170,544,1,0,6,0,513908,84,Vehicle,30085.5,0.0,1.423,19874.5,Rejected,1
APP_00044,Brian Romero,57,Graduate,Salaried,5,2,Married,600477,27332,3,22517,195135,1796898,710,10,0,3,0,1091078,12,Education,50039.75,45.0,1.817,190.75,Rejected,0
APP_00045,Eric Mcdowell,40,Postgraduate,Salaried,9,2,Married,500175,20237,4,18756,185421,2024460,815,2,0,3,1,430980,48,Education,41681.25,45.0,0.862,2688.25,Approved,0
APP_00046,Olivia Hampton,25,High School,Salaried,4,3,Single,496385,21223,4,18614,337065,977447,655,2,1,8,1,537156,84,Education,41365.42,45.0,1.082,1528.42,Rejected,1
APP_00047,Traci Long,65,Graduate,Self-Employed,26,3,Single,657419,25213,1,5403,115026,2673925,714,12,0,7,0,837186,36,Home,54784.92,9.86,1.273,24168.92,Approved,0
APP_00048,Luis Contreras,30,Graduate,Business Owner,4,4,Married,1026702,22314,3,30774,383537,1946852,673,6,1,2,0,1791808,84,Business,85558.5,35.97,1.745,32470.5,Rejected,1
APP_00049,David Daniels,31,Postgraduate,Salaried,2,2,Married,343821,15729,0,0,82182,1306058,697,11,1,4,2,361717,48,Business,28651.75,0.0,1.052,12922.75,Approved,1
APP_00050,Laura Sanders,23,Graduate,Salaried,1,1,Single,948824,16675,0,0,356153,4004825,850,4,0,6,0,565470,120,Home,79068.67,0.0,0.596,62393.67,Approved,0
APP_00051,Hunter Jacobson,35,Graduate,Salaried,0,3,Single,382381,8166,4,14339,132863,785340,557,8,1,5,0,613688,84,Vehicle,31865.08,45.0,1.605,9360.08,Rejected,1
APP_00052,Lori Roberts,61,Diploma,Contract,31,3,Married,570367,18816,1,17331,176457,980760,657,7,0,2,4,811046,24,Education,47530.58,36.46,1.422,11383.58,Rejected,0
APP_00053,Troy Holland,59,Graduate,Salaried,11,1,Married,743252,22888,2,19602,368800,2837285,703,3,0,7,1,1062571,36,Personal,61937.67,31.65,1.43,19447.67,Approved,0
APP_00054,Nicholas Sanders,49,Graduate,Self-Employed,18,3,Married,243334,9159,4,9125,95393,359454,671,21,0,7,1,113110,60,Business,20277.83,45.0,0.465,1993.83,Rejected,0
APP_00055,Lauren Bryant,56,Postgraduate,Contract,5,1,Married,366768,10218,1,13753,35042,737372,733,8,0,4,3,130548,48,Home,30564.0,45.0,0.356,6593.0,Approved,0
